b,traffic_class,mean_response_time,confidence_interval
10,data,0.0008649899173177476,"(np.float64(0.0005332614263273881), np.float64(0.0011967184083081072))"
10,voice,0.0008580156311462825,"(np.float64(0.00038065450700537504), np.float64(0.00133537675528719))"
10,video,0.0026827158824057184,"(np.float64(0.0022925227606174045), np.float64(0.0030729090041940322))"
30,data,0.0022175046389929297,"(np.float64(0.0016325907185677799), np.float64(0.0028024185594180797))"
30,voice,0.0021501473155749653,"(np.float64(0.0010764923420883033), np.float64(0.0032238022890616275))"
30,video,0.0071176387225170175,"(np.float64(0.005010032324607281), np.float64(0.009225245120426754))"
50,data,0.003367712329085013,"(np.float64(0.0022420108519584448), np.float64(0.004493413806211581))"
50,voice,0.0034234057051892638,"(np.float64(0.0015211440098299547), np.float64(0.005325667400548573))"
50,video,0.01122027829073597,"(np.float64(0.008150751899872967), np.float64(0.014289804681598973))"
70,data,0.004738889897074116,"(np.float64(0.002962731356337774), np.float64(0.006515048437810458))"
70,voice,0.004916663133767449,"(np.float64(0.003205718282319206), np.float64(0.006627607985215693))"
70,video,0.01583986692249435,"(np.float64(0.010934953804340742), np.float64(0.020744780040647955))"
90,data,0.005605513546843247,"(np.float64(0.0036257445789754546), np.float64(0.00758528251471104))"
90,voice,0.005927239948090128,"(np.float64(0.004422899427295102), np.float64(0.007431580468885154))"
90,video,0.019098148013808477,"(np.float64(0.014612516571317997), np.float64(0.023583779456298956))"
