b,traffic_class,mean_response_time,confidence_interval
10,data,0.0008996192088744907,"(np.float64(-0.0003221767575359245), np.float64(0.0021214151752849057))"
10,voice,0.000969451175035789,"(np.float64(-2.0948871681945283e-05), np.float64(0.0019598512217535234))"
10,video,0.0026985738110470517,"(np.float64(0.001456559132677465), np.float64(0.003940588489416638))"
30,data,0.0028188211522955703,"(np.float64(-0.0005964464010864085), np.float64(0.006234088705677549))"
30,voice,0.0037454818180078678,"(np.float64(-0.004455105716191024), np.float64(0.01194606935220676))"
30,video,0.008308563380670991,"(np.float64(0.0016546897382919415), np.float64(0.01496243702305004))"
50,data,0.0033180118721771925,"(np.float64(2.059862399598827e-05), np.float64(0.006615425120358396))"
50,voice,0.004024856448612655,"(np.float64(5.705997758388877e-05), np.float64(0.007992652919641421))"
50,video,0.011464484525563841,"(np.float64(0.0057113939329960835), np.float64(0.0172175751181316))"
70,data,0.0037871641144501447,"(np.float64(0.0005590922653599855), np.float64(0.007015235963540304))"
70,voice,0.0044464592534311995,"(np.float64(0.0012074363500435017), np.float64(0.007685482156818897))"
70,video,0.013605634392446676,"(np.float64(0.008004630994418345), np.float64(0.019206637790475007))"
90,data,0.006335800096903187,"(np.float64(-0.0002208213468743647), np.float64(0.012892421540680737))"
90,voice,0.007055302561262728,"(np.float64(0.0018071808024271423), np.float64(0.012303424320098314))"
90,video,0.021044438976296067,"(np.float64(0.009404432473208596), np.float64(0.03268444547938354))"
